ID,innings,overs,ballnumber,batter,bowler,non_striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam,player,team
980983,1,0,5,S Dhawan,J Yadav,DA Warner,NA,2,0,2,0,0,NA,NA,NA,Sunrisers Hyderabad,J Yadav,GT
729289,1,0,5,MK Pandey,Mohammed Shami,G Gambhir,NA,2,0,2,0,0,NA,NA,NA,Kolkata Knight Riders,Mohammed Shami,GT
1304103,2,0,5,KL Rahul,Mohammed Shami,Q de Kock,NA,0,0,0,0,0,NA,NA,NA,Lucknow Super Giants,Mohammed Shami,GT
1304050,1,0,5,E Lewis,Mohammed Shami,Q de Kock,NA,0,0,0,0,0,NA,NA,NA,Lucknow Super Giants,Mohammed Shami,GT
1216517,4,0,5,RG Sharma,Mohammed Shami,Q de Kock,NA,1,0,1,0,0,NA,NA,NA,Mumbai Indians,Mohammed Shami,GT
1304081,2,0,5,SW Billings,Mohammed Shami,SP Narine,NA,0,0,0,0,1,SW Billings,caught,WP Saha,Kolkata Knight Riders,Mohammed Shami,GT
1136604,1,0,5,CA Lynn,MM Sharma,SP Narine,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,MM Sharma,GT
1175361,1,0,5,CA Lynn,Mohammed Shami,SP Narine,NA,1,0,1,0,0,NA,NA,NA,Kolkata Knight Riders,Mohammed Shami,GT
1178393,1,0,5,F du Plessis,Mohammed Shami,SR Watson,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings,Mohammed Shami,GT
1304070,2,0,5,JC Buttler,Mohammed Shami,D Padikkal,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,Mohammed Shami,GT
1312200,1,0,5,YBK Jaiswal,Mohammed Shami,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,Mohammed Shami,GT
1136609,1,0,5,RA Tripathi,Shivam Mavi,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,Shivam Mavi,GT
1254075,2,0,5,YBK Jaiswal,Shivam Mavi,JC Buttler,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals,Shivam Mavi,GT
1254078,1,0,5,KL Rahul,Shivam Mavi,MA Agarwal,NA,0,0,0,0,0,NA,NA,NA,Punjab Kings,Shivam Mavi,GT
1304108,1,0,5,DP Conway,Mohammed Shami,RD Gaikwad,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,Mohammed Shami,GT
1304075,1,0,5,RV Uthappa,Mohammed Shami,RD Gaikwad,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,Mohammed Shami,GT
829723,2,0,5,G Gambhir,MM Sharma,RV Uthappa,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,MM Sharma,GT
733985,2,0,5,G Gambhir,Mohammed Shami,RV Uthappa,NA,1,0,1,0,0,NA,NA,NA,Kolkata Knight Riders,Mohammed Shami,GT
1304094,2,0,5,S Dhawan,Mohammed Shami,JM Bairstow,NA,0,0,0,0,0,NA,NA,NA,Punjab Kings,Mohammed Shami,GT
1216498,2,0,5,DA Warner,Mohammed Shami,JM Bairstow,NA,6,0,6,0,0,NA,NA,NA,Sunrisers Hyderabad,Mohammed Shami,GT
1216523,1,0,5,Shubman Gill,Mohammed Shami,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,Mohammed Shami,GT
1312197,1,0,5,JC Buttler,Mohammed Shami,YBK Jaiswal,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,Mohammed Shami,GT
1304089,1,0,5,V Kohli,Mohammed Shami,F du Plessis,wides,0,1,1,0,0,NA,NA,NA,Royal Challengers Bangalore,Mohammed Shami,GT
1254065,2,0,5,RD Gaikwad,Mohammed Shami,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,Mohammed Shami,GT
1254094,1,0,5,RD Gaikwad,Mohammed Shami,F du Plessis,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings,Mohammed Shami,GT
1304097,1,0,5,RG Sharma,Mohammed Shami,Ishan Kishan,NA,0,0,0,0,0,NA,NA,NA,Mumbai Indians,Mohammed Shami,GT
1178427,2,0,5,CA Lynn,Mohammed Shami,Shubman Gill,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,Mohammed Shami,GT
1304086,1,0,5,Abhishek Sharma,Mohammed Shami,KS Williamson,NA,0,0,0,0,0,NA,NA,NA,Sunrisers Hyderabad,Mohammed Shami,GT
1304067,2,0,5,KS Williamson,Mohammed Shami,Abhishek Sharma,NA,1,0,1,0,0,NA,NA,NA,Sunrisers Hyderabad,Mohammed Shami,GT
598073,1,0,6,KD Karthik,MM Sharma,AP Tare,NA,4,0,4,0,0,NA,NA,NA,Mumbai Indians,MM Sharma,GT
1175361,1,0,6,SP Narine,Mohammed Shami,CA Lynn,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,Mohammed Shami,GT
1254111,1,0,6,YBK Jaiswal,Mohammed Shami,E Lewis,NA,4,0,4,0,0,NA,NA,NA,Rajasthan Royals,Mohammed Shami,GT
1082626,2,0,6,MJ Guptill,Mohammed Shami,HM Amla,NA,4,0,4,0,0,NA,NA,NA,Kings XI Punjab,Mohammed Shami,GT
598062,2,0,6,UBT Chand,MM Sharma,J Botha,wides,0,1,1,0,0,NA,NA,NA,Delhi Daredevils,MM Sharma,GT
1254061,2,0,6,SV Samson,Mohammed Shami,M Vohra,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,Mohammed Shami,GT
734039,2,0,6,V Sehwag,Mohammed Shami,M Vohra,NA,4,0,4,0,0,NA,NA,NA,Kings XI Punjab,Mohammed Shami,GT
1178412,2,0,6,S Dhawan,Mohammed Shami,PP Shaw,NA,0,0,0,0,0,NA,NA,NA,Delhi Capitals,Mohammed Shami,GT
1304056,2,0,6,TL Seifert,Mohammed Shami,PP Shaw,NA,1,0,1,0,0,NA,NA,NA,Delhi Capitals,Mohammed Shami,GT
1254077,4,0,6,S Dhawan,Rashid Khan,RR Pant,legbyes,0,1,1,0,0,NA,NA,NA,Delhi Capitals,Rashid Khan,GT
1304113,2,0,6,F du Plessis,Mohammed Shami,V Kohli,NA,0,0,0,0,0,NA,NA,NA,Royal Challengers Bangalore,Mohammed Shami,GT
829813,2,0,6,CH Gayle,J Yadav,V Kohli,NA,1,0,1,0,0,NA,NA,NA,Royal Challengers Bangalore,J Yadav,GT
1254107,2,0,6,KS Williamson,Mohammed Shami,WP Saha,NA,0,0,0,0,0,NA,NA,NA,Sunrisers Hyderabad,Mohammed Shami,GT
1136619,1,0,6,S Dhawan,Shivam Mavi,WP Saha,NA,1,0,1,0,0,NA,NA,NA,Sunrisers Hyderabad,Shivam Mavi,GT
733993,2,0,6,S Dhawan,Mohammed Shami,AJ Finch,NA,0,0,0,0,0,NA,NA,NA,Sunrisers Hyderabad,Mohammed Shami,GT
734013,2,0,6,PA Patel,MM Sharma,CH Gayle,NA,0,0,0,0,0,NA,NA,NA,Royal Challengers Bangalore,MM Sharma,GT
598070,2,0,6,AP Tare,MM Sharma,DR Smith,NA,1,0,1,0,0,NA,NA,NA,Mumbai Indians,MM Sharma,GT
733981,2,0,6,BB McCullum,Mohammed Shami,DR Smith,NA,2,0,2,0,0,NA,NA,NA,Chennai Super Kings,Mohammed Shami,GT
1136578,2,0,6,CH Gayle,Shivam Mavi,KL Rahul,NA,0,0,0,0,0,NA,NA,NA,Kings XI Punjab,Shivam Mavi,GT
1082630,1,0,6,DA Warner,J Yadav,S Dhawan,NA,0,0,0,0,0,NA,NA,NA,Sunrisers Hyderabad,J Yadav,GT
598051,2,0,6,PA Patel,MM Sharma,S Dhawan,NA,0,0,0,0,0,NA,NA,NA,Sunrisers Hyderabad,MM Sharma,GT
1304062,1,0,6,MA Agarwal,Mohammed Shami,S Dhawan,NA,1,0,1,0,0,NA,NA,NA,Punjab Kings,Mohammed Shami,GT
829793,1,0,6,DA Warner,J Yadav,S Dhawan,NA,1,0,1,0,0,NA,NA,NA,Sunrisers Hyderabad,J Yadav,GT
734029,2,0,6,DA Warner,MM Sharma,S Dhawan,NA,2,0,2,0,0,NA,NA,NA,Sunrisers Hyderabad,MM Sharma,GT
1254082,2,0,6,PP Shaw,Shivam Mavi,S Dhawan,NA,4,0,4,0,0,NA,NA,NA,Delhi Capitals,Shivam Mavi,GT
829773,1,0,6,DA Warner,MM Sharma,S Dhawan,NA,4,0,4,0,0,NA,NA,NA,Sunrisers Hyderabad,MM Sharma,GT
598058,2,0,6,R Dravid,MM Sharma,AM Rahane,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,MM Sharma,GT
1082611,1,0,6,S Dhawan,J Yadav,DA Warner,NA,1,0,1,0,0,NA,NA,NA,Sunrisers Hyderabad,J Yadav,GT
980983,1,0,6,S Dhawan,J Yadav,DA Warner,NA,1,0,1,0,0,NA,NA,NA,Sunrisers Hyderabad,J Yadav,GT
733985,2,0,6,RV Uthappa,Mohammed Shami,G Gambhir,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,Mohammed Shami,GT
729289,1,0,6,MK Pandey,Mohammed Shami,G Gambhir,legbyes,0,1,1,0,0,NA,NA,NA,Kolkata Knight Riders,Mohammed Shami,GT
598030,1,0,6,S Dhawan,MM Sharma,GH Vihari,NA,1,0,1,0,0,NA,NA,NA,Sunrisers Hyderabad,MM Sharma,GT
1304050,1,0,6,E Lewis,Mohammed Shami,Q de Kock,NA,0,0,0,0,0,NA,NA,NA,Lucknow Super Giants,Mohammed Shami,GT
1304103,2,0,6,KL Rahul,Mohammed Shami,Q de Kock,NA,1,0,1,0,0,NA,NA,NA,Lucknow Super Giants,Mohammed Shami,GT
1216517,4,0,6,Q de Kock,Mohammed Shami,RG Sharma,NA,1,0,1,0,1,Q de Kock,run out,NA,Mumbai Indians,Mohammed Shami,GT
1304081,2,0,6,SS Iyer,Mohammed Shami,SP Narine,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,Mohammed Shami,GT
1136604,1,0,6,CA Lynn,MM Sharma,SP Narine,NA,1,0,1,0,0,NA,NA,NA,Kolkata Knight Riders,MM Sharma,GT
598026,1,0,6,AM Rahane,MM Sharma,SR Watson,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,MM Sharma,GT
1304070,2,0,6,JC Buttler,Mohammed Shami,D Padikkal,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals,Mohammed Shami,GT
1312200,1,0,6,YBK Jaiswal,Mohammed Shami,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,Mohammed Shami,GT
1136609,1,0,6,RA Tripathi,Shivam Mavi,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,Shivam Mavi,GT
1254078,1,0,6,KL Rahul,Shivam Mavi,MA Agarwal,NA,0,0,0,0,0,NA,NA,NA,Punjab Kings,Shivam Mavi,GT
1304075,1,0,6,RV Uthappa,Mohammed Shami,RD Gaikwad,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,Mohammed Shami,GT
1254094,1,0,6,F du Plessis,Mohammed Shami,RD Gaikwad,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,Mohammed Shami,GT
1304108,1,0,6,DP Conway,Mohammed Shami,RD Gaikwad,NA,3,0,3,0,0,NA,NA,NA,Chennai Super Kings,Mohammed Shami,GT
829723,2,0,6,G Gambhir,MM Sharma,RV Uthappa,NA,1,0,1,0,0,NA,NA,NA,Kolkata Knight Riders,MM Sharma,GT
980965,2,0,6,AM Rahane,J Yadav,UT Khawaja,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiants,J Yadav,GT
1254071,2,0,6,DA Warner,Mohammed Shami,JM Bairstow,NA,0,0,0,0,0,NA,NA,NA,Sunrisers Hyderabad,Mohammed Shami,GT
1216498,2,0,6,DA Warner,Mohammed Shami,JM Bairstow,NA,0,0,0,0,0,NA,NA,NA,Sunrisers Hyderabad,Mohammed Shami,GT
1304094,2,0,6,S Dhawan,Mohammed Shami,JM Bairstow,NA,1,0,1,0,0,NA,NA,NA,Punjab Kings,Mohammed Shami,GT
1216523,1,0,6,Shubman Gill,Mohammed Shami,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,Mohammed Shami,GT
1254075,2,0,6,JC Buttler,Shivam Mavi,YBK Jaiswal,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,Shivam Mavi,GT
1312197,1,0,6,JC Buttler,Mohammed Shami,YBK Jaiswal,NA,4,0,4,0,0,NA,NA,NA,Rajasthan Royals,Mohammed Shami,GT
1254065,2,0,6,RD Gaikwad,Mohammed Shami,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,Mohammed Shami,GT
1178393,1,0,6,SR Watson,Mohammed Shami,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,Mohammed Shami,GT
1304089,1,0,6,V Kohli,Mohammed Shami,F du Plessis,NA,1,0,1,0,0,NA,NA,NA,Royal Challengers Bangalore,Mohammed Shami,GT
1304097,1,0,6,RG Sharma,Mohammed Shami,Ishan Kishan,NA,0,0,0,0,0,NA,NA,NA,Mumbai Indians,Mohammed Shami,GT
1178427,2,0,6,CA Lynn,Mohammed Shami,Shubman Gill,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,Mohammed Shami,GT
