ID,innings,overs,ballnumber,batter,bowler,non_striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam,player,team
1254110,1,0,1,RD Gaikwad,A Nortje,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254104,1,0,1,RD Gaikwad,TA Boult,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254098,2,0,1,RD Gaikwad,M Prasidh Krishna,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254091,2,0,1,RD Gaikwad,Sandeep Sharma,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254084,1,0,1,RD Gaikwad,TA Boult,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254072,1,0,1,RD Gaikwad,CV Varun,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254059,1,0,1,RD Gaikwad,CR Woakes,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1216544,2,0,1,RD Gaikwad,Washington Sundar,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1216521,1,0,1,RD Gaikwad,TA Boult,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1216506,2,0,1,RD Gaikwad,JDS Neesham,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
980943,2,0,1,AM Rahane,B Kumar,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
980939,1,0,1,AM Rahane,M Morkel,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
980931,2,0,1,AM Rahane,STR Binny,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
980919,1,0,1,AM Rahane,Sandeep Sharma,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
980911,1,0,1,AM Rahane,P Kumar,F du Plessis,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
1254117,1,0,1,RD Gaikwad,Shakib Al Hasan,F du Plessis,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254114,2,0,1,RD Gaikwad,A Nortje,F du Plessis,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254113,2,0,1,RD Gaikwad,Mohammed Siraj,F du Plessis,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254094,1,0,1,RD Gaikwad,Mohammed Shami,F du Plessis,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254076,1,0,1,RD Gaikwad,Mohammed Siraj,F du Plessis,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254065,2,0,1,RD Gaikwad,Mohammed Shami,F du Plessis,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254080,2,0,1,RD Gaikwad,Sandeep Sharma,F du Plessis,NA,2,0,2,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254089,1,0,1,RD Gaikwad,Akash Singh,F du Plessis,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1254069,1,0,1,RD Gaikwad,JD Unadkat,F du Plessis,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
980901,2,0,1,AM Rahane,MJ McClenaghan,F du Plessis,NA,4,0,4,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
335997,2,0,1,AM Rahane,AB Agarkar,ST Jayasuriya,NA,0,0,0,0,0,NA,NA,NA,Mumbai Indians,AM Rahane,CSK
1178420,2,0,1,AM Rahane,B Kumar,LS Livingstone,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1178428,1,0,1,AM Rahane,TA Boult,LS Livingstone,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
734033,2,0,2,AM Rahane,L Balaji,KK Nair,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
733999,2,0,2,AM Rahane,JA Morkel,KK Nair,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
733989,2,0,2,AM Rahane,B Kumar,KK Nair,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
733979,1,0,2,AM Rahane,R Vinay Kumar,KK Nair,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
734011,1,0,2,AM Rahane,JP Duminy,KK Nair,NA,4,0,4,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
729315,1,0,2,AM Rahane,R Vinay Kumar,KK Nair,NA,4,0,4,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
729305,2,0,2,AM Rahane,MA Starc,KK Nair,NA,4,0,4,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1254061,2,0,2,BA Stokes,Mohammed Shami,M Vohra,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,BA Stokes,CSK
1304107,1,0,2,AM Rahane,B Kumar,VR Iyer,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,AM Rahane,CSK
1304065,2,0,2,AM Rahane,Mustafizur Rahman,VR Iyer,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,AM Rahane,CSK
1304047,2,0,2,AM Rahane,TU Deshpande,VR Iyer,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,AM Rahane,CSK
1304060,2,0,2,AM Rahane,Basil Thampi,VR Iyer,NA,1,0,1,0,0,NA,NA,NA,Kolkata Knight Riders,AM Rahane,CSK
